PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQ. FT,YEAR BUILT
Single Family Residential,110 Southview Dr,Hoover,AL,35244,549900,5,4.5,3285,1995
Single Family Residential,306 Chateau Way,Birmingham,AL,35242,480000,4,2,2472,2005
Condo/Co-op,401 20th St S #107,Birmingham,AL,35233,219900,1,1,753,2007
Single Family Residential,373 Oak Trce,Hoover,AL,35244,525000,4,3.5,2625,1995
Single Family Residential,1597 Republic Ln,Birmingham,AL,35214,119000,3,2,2694,1963
Single Family Residential,1337 Orlando Cir NE,Birmingham,AL,35215,107000,3,2.5,1636,1960
Single Family Residential,1115 Haven Rd,Hoover,AL,35242,580000,4,2.5,3387,2005
Single Family Residential,2624 Dolly Ridge Rd,Vestavia Hills,AL,35243,1295000,7,6.5,8155,1987
Single Family Residential,1200 33rd St,Birmingham,AL,35218,54900,2,1,952,1951
Single Family Residential,2116 Etowah St,Birmingham,AL,35217,129900,3,1,2150,1971
Townhouse,2808 1st Ave S,Birmingham,AL,35233,560000,2,2.5,2019,2007
Condo/Co-op,1766 Portobello Rd #1766,Birmingham,AL,35242,349900,3,2.5,1962,2008
Condo/Co-op,2226 1st Ave S #209,Birmingham,AL,35233,399900,1,1,1350,2007
Single Family Residential,3809 Kinross Pl,Hoover,AL,35216,359900,4,3.5,2509,2007
Single Family Residential,1098 Lake Crest Dr,Hoover,AL,35226,589000,4,3.5,3045,2014
Single Family Residential,8211 5th Ave N,Birmingham,AL,35206,164000,3,2,1392,1938
Single Family Residential,4804 Hutson Ave,Birmingham,AL,35207,145000,3,2,1341,1983
Single Family Residential,3608 Oak Ave,Birmingham,AL,35221,90000,3,1,1215,1967
Single Family Residential,3454 Loch Ridge Trl,Hoover,AL,35216,339900,3,2.5,2506,1969
Single Family Residential,1605 19th St,Birmingham,AL,35211,65000,3,1,972,1958
Single Family Residential,548 Marshall Ave,Birmingham,AL,35215,289900,4,3,2425,1982
Single Family Residential,5208 Goldmar Dr,Irondale,AL,35210,250000,3,2,1308,1971
Single Family Residential,705 Meadow Ridge Ct,Birmingham,AL,35242,409000,3,3.5,3010,1997
Condo/Co-op,2727 Highland Ave S Unit 101-B,Birmingham,AL,35205,179900,1,1,621,1965
Single Family Residential,2005 49th St,Birmingham,AL,35208,65000,3,1,1428,1950
Single Family Residential,5120 Park Ave,Birmingham,AL,35221,19000,2,1,1300,1948
Single Family Residential,3902 5th Ct N,Birmingham,AL,35222,162000,3,3,2498,1920
Condo/Co-op,2714 Carriage Pl #2714,Mountain Brook,AL,35223,915000,3,3,3039,1989
Single Family Residential,707 Carnoustie,Birmingham,AL,35242,1290000,5,5.5,7959,2008
Condo/Co-op,1300 Beacon Pkwy E #311,Birmingham,AL,35209,330000,2,2,1523,1981
Single Family Residential,321 Woodward Rd,Birmingham,AL,35228,60000,2,1,939,1947
Townhouse,5108 Falling Creek Ln,Birmingham,AL,35235,149900,3,2.5,1333,2004
Single Family Residential,944 4th Ave W,Birmingham,AL,35204,85000,3,1,1550,1927
Single Family Residential,1522 Chace Ln,Hoover,AL,35244,449900,3,2.5,2036,2011
Single Family Residential,2244 Ledgewood Cir,Birmingham,AL,35214,220000,3,2,1994,1978
Single Family Residential,2709 Old Wenonah Rd,Birmingham,AL,35211,30000,3,1,1050,1927
Single Family Residential,921 Avenue,Birmingham,AL,35214,34900,2,1,952,1926
Single Family Residential,1730 Cullom St,Birmingham,AL,35205,650000,6,3,2843,1900
Single Family Residential,970 2nd St N,Birmingham,AL,35204,15000,3,1,1120,1940
Single Family Residential,915 Avenue,Birmingham,AL,35214,15000,2,1,1664,1935
Single Family Residential,4008 Smithfield Forest Dr,Pleasant Grove,AL,35127,315500,4,2.5,2240,1993
Single Family Residential,745 Holland Dr,Pleasant Grove,AL,35127,249900,3,2,2145,2002
Single Family Residential,120 Connemara Trl,Birmingham,AL,35242,3149000,6,6.5,8312,2006
Single Family Residential,624 Springbank Ter,Hoover,AL,35242,1098000,5,5,6582,2005
Townhouse,2354 Grayson Valley Dr,Birmingham,AL,35235,145000,3,2.5,1488,1982
Single Family Residential,701 Talon Cv,Birmingham,AL,35242,455000,4,2.5,2219,2002
Condo/Co-op,1880 Red Mountain Ln Unit D,Birmingham,AL,35223,499900,2,2,1426,2004
Condo/Co-op,1120 Beacon Pkwy #503,Birmingham,AL,35209,269900,2,2,1482,1979
Single Family Residential,1309 Atkins Trimm Blvd,Hoover,AL,35226,429900,4,4,2976,1976
Single Family Residential,2109 Larchmont Cir,Hoover,AL,35216,224900,3,1,1327,1960
Single Family Residential,818 College Ave,Homewood,AL,35209,674900,3,3,1924,1945
Single Family Residential,3344 Overton Rd,Mountain Brook,AL,35213,699900,4,3,2685,1971
Single Family Residential,430 Lake Rd,Hoover,AL,35242,414900,3,2,2310,2000
Single Family Residential,706 64th Pl S,Birmingham,AL,35212,129900,2,1,754,1927
Condo/Co-op,1770 Valley Ave Unit C,Homewood,AL,35209,195000,2,1,992,1944
Single Family Residential,3290 Mulga Loop Rd,Birmingham,AL,35224,118000,3,1,1224,1956
Single Family Residential,5261 Cottage Cir,Hoover,AL,35226,299900,3,2,1515,2004
Single Family Residential,3379 Brookview Trce,Hoover,AL,35126,329900,3,2.5,2002,1994
Condo/Co-op,2625 Highland Ave #407,Birmingham,AL,35205,139900,1,1,585,1974
Single Family Residential,221 Goldwire Cir SW,Birmingham,AL,35211,140000,3,2,1057,2010
Single Family Residential,409 Oregon St,Birmingham,AL,35244,17500,3,1,1113,1920
Single Family Residential,2919 41st Ave N,Birmingham,AL,35207,19999,3,1,1218,1945
Single Family Residential,109 96th St,Birmingham,AL,35206,24900,3,1,1140,1950
Single Family Residential,1300 9th Ave,Midfield,AL,35228,95000,2,1,2116,1925
Single Family Residential,445 Roebuck Dr,Birmingham,AL,35215,153000,3,2,1705,1956
Single Family Residential,3218 Starlake Cir,Hoover,AL,35226,524900,4,2,2524,1962
Single Family Residential,5416 Sunrise Dr,Birmingham,AL,35242,334900,3,2.5,2014,1988
Single Family Residential,2937 Coatbridge Ln,Birmingham,AL,35242,475000,4,2.5,2889,1987
